method,rmse_log,mae_log,r2_log,rmse_czk,mae_czk,r2_czk
grid_search,0.41119190683237994,0.2819267247026073,0.6031490855021606,7788.76055877702,1260.8593037489773,0.6729206295753105
random_search,0.41119190683238005,0.28192672470260743,0.6031490855021604,7788.760558777024,1260.8593037489782,0.6729206295753101
