feature_set,model,rmse_log,mae_log,r2_log,rmse_czk,mae_czk,r2_czk
with_revenue_feature,random_forest,0.24785272245526288,0.09464794471518913,0.8558131492550277,5402.044168497144,667.3340417075831,0.8426623321021429
with_revenue_feature,gradient_boosting,0.2817841298690039,0.16237291317440963,0.8136320067562808,10414.617175077998,1130.2222810661392,0.4152057842820055
with_revenue_feature,knn,0.43315661774180153,0.29988094099505846,0.5596194019984558,8706.957041500713,1336.6508904653147,0.5912580141618624
with_revenue_feature,ridge,0.49849110832439825,0.3452141768608876,0.41675221077715363,13470.780118902792,1766.4755062601553,0.02163267106231781
without_revenue_feature,random_forest,0.4126174606209384,0.28202939012867756,0.6003926451208035,7512.585033231079,1211.5987780326486,0.6957046971670546
without_revenue_feature,gradient_boosting,0.4237515158446468,0.3046167097299189,0.5785356953020727,9358.091759390489,1452.9760271627667,0.5278379848587997
without_revenue_feature,knn,0.44974584046402755,0.31301174179561714,0.5252416849336133,8549.736457757184,1351.246871685573,0.6058859631478322
without_revenue_feature,ridge,0.49849413169439477,0.3451292811361,0.41674513590988105,13471.762221606494,1766.2004417736127,0.0214900078732998
