mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.6664880911509194,0.0545692425570889,0.22963937123616537,0.010365411597054492,200,3,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': None}",-0.48674790744456947,-0.4367346675526384,-0.43269547489032306,-0.4520593499625103,0.024583880687426295,1
2.451263189315796,0.15211230439423606,0.350835641225179,0.1573301174439157,200,3,16,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': 16}",-0.48676799435531914,-0.4367989655035247,-0.43293702687578095,-0.45216799557820825,0.024516641681698176,2
2.6231120427449546,0.1580049223342414,0.22540593147277832,0.09832961156140421,200,1,16,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 16}",-0.4888405902297075,-0.4397848685686238,-0.4292099486731233,-0.4526118024904849,0.025978850737850837,3
2.7065102259318032,0.027466553377989724,0.17477178573608398,0.018208236907702444,200,1,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': None}",-0.48847667697607544,-0.43972412802399247,-0.43103582404476337,-0.4530788763482771,0.025280095905315086,4
0.5781973203023275,0.06695510333367008,0.5391664505004883,0.06553438012501522,100,3,,"{'model__n_estimators': 100, 'model__min_samples_leaf': 3, 'model__max_depth': None}",-0.48773567400183504,-0.4399090386843439,-0.43427644963413226,-0.45397372077343706,0.023983794934629512,5
2.409090439478556,0.21144359877461735,0.44201167424519855,0.20734582472688987,200,5,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': None}",-0.48781839163884805,-0.4366517352113882,-0.43975558892610683,-0.45474190525878105,0.02342290816570624,6
1.0613714059193928,0.014314173396340652,0.06570831934611003,0.009448791700317075,200,5,16,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': 16}",-0.4879153398011696,-0.43694050157515557,-0.4394296496106712,-0.4547618303289988,0.02346508551339865,7
1.8601544698079426,0.1936939037618006,0.9043560028076172,0.188352259063217,100,5,16,"{'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_depth': 16}",-0.4880985620079765,-0.43927792110830777,-0.44136035896827996,-0.4562456140281881,0.022539474381811312,8
0.43550483385721844,0.053408157000206034,2.3618925412495932,0.042103951467259815,100,1,,"{'model__n_estimators': 100, 'model__min_samples_leaf': 1, 'model__max_depth': None}",-0.48965422717793256,-0.44572237933548586,-0.4338017485533183,-0.45639278502224556,0.024017604796874495,9
1.002208153406779,0.09342895858572149,0.13788612683614096,0.0864822001491557,200,3,8,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': 8}",-0.504229562274065,-0.4495774049136666,-0.44418321906654834,-0.46599672875142667,0.02712423860210209,10
